Fecha;TIPO CAMBIO COMPRA;TIPO DE CAMBIO VENTA
1/1/2022;639,06;645,25
2/1/2022;639,06;645,25
3/1/2022;639,06;645,25
4/1/2022;639,54;645,39
5/1/2022;638,47;644,53
6/1/2022;639,37;644,92
7/1/2022;639,87;644,63
8/1/2022;637,19;644,03
9/1/2022;637,19;644,03
10/1/2022;637,19;644,03
11/1/2022;635;643,44
12/1/2022;634,24;640,55
13/1/2022;632,91;637,92
14/1/2022;631,51;636,97
15/1/2022;628,2;636,33
16/1/2022;628,2;636,33
17/1/2022;628,2;636,33
18/1/2022;629,73;636,12
19/1/2022;629,37;635,58
20/1/2022;629,68;635,67
21/1/2022;631,18;637,95
22/1/2022;633,17;640,25
23/1/2022;633,17;640,25
24/1/2022;633,17;640,25
25/1/2022;634,67;643,08
26/1/2022;636,95;644,79
27/1/2022;639,04;645,07
28/1/2022;640,7;645,97
29/1/2022;638,97;646,2
30/1/2022;638,97;646,2
31/1/2022;638,97;646,2
1/2/2022;640,05;646,9
2/2/2022;641,04;648,48
3/2/2022;642,15;648,72
4/2/2022;642,33;647,98
5/2/2022;640,17;647,95
6/2/2022;640,17;647,95
7/2/2022;640,17;647,95
8/2/2022;640,5;647,85
9/2/2022;639,48;647,45
10/2/2022;641,03;647,15
11/2/2022;640,19;646,93
12/2/2022;638,63;644,59
13/2/2022;638,63;644,59
14/2/2022;638,63;644,59
15/2/2022;636,03;642,88
16/2/2022;636,35;642,9
17/2/2022;637;642,77
18/2/2022;636,74;642,83
19/2/2022;636,98;642,8
20/2/2022;636,98;642,8
21/2/2022;636,98;642,8
22/2/2022;637,13;644,01
23/2/2022;636,94;644,74
24/2/2022;638,1;644,91
25/2/2022;637,8;646,5
26/2/2022;641,53;647,34
27/2/2022;641,53;647,34
28/2/2022;641,53;647,34
29 Feb 2022;;
1/3/2022;640,02;647,31
2/3/2022;640,12;647,78
3/3/2022;641,85;648,04
4/3/2022;642,08;649,08
5/3/2022;643,93;651,68
6/3/2022;643,93;651,68
7/3/2022;643,93;651,68
8/3/2022;645,3;653,53
9/3/2022;648,97;655,61
10/3/2022;649,28;656,06
11/3/2022;647,6;654,34
12/3/2022;643,37;650,89
13/3/2022;643,37;650,89
14/3/2022;643,37;650,89
15/3/2022;639,9;645,76
16/3/2022;637,66;644,17
17/3/2022;639,31;645,6
18/3/2022;642,28;648,93
19/3/2022;644,73;651,22
20/3/2022;644,73;651,22
21/3/2022;644,73;651,22
22/3/2022;644,51;653,21
23/3/2022;650,24;655,48
24/3/2022;650,94;658,09
25/3/2022;652,53;659,53
26/3/2022;653,57;661,6
27/3/2022;653,57;661,6
28/3/2022;653,57;661,6
29/3/2022;655,13;663,17
30/3/2022;657,28;664,6
31/3/2022;660,48;667,1
1/4/2022;663,06;668,24
2/4/2022;660,02;667,86
3/4/2022;660,02;667,86
4/4/2022;660,02;667,86
5/4/2022;654,27;663,12
6/4/2022;654,59;661,93
7/4/2022;657,36;662,61
8/4/2022;654,24;661,64
9/4/2022;650,86;657,96
10/4/2022;650,86;657,96
11/4/2022;650,86;657,96
12/4/2022;650,86;657,96
13/4/2022;649,17;656,2
14/4/2022;647,68;656,54
15/4/2022;647,68;656,54
16/4/2022;647,68;656,54
17/4/2022;647,68;656,54
18/4/2022;647,68;656,54
19/4/2022;650,3;656,49
20/4/2022;650,1;657,99
21/4/2022;653,8;660,69
22/4/2022;655,1;664,58
23/4/2022;658,99;664,96
24/4/2022;658,99;664,96
25/4/2022;658,99;664,96
26/4/2022;659,49;666,3
27/4/2022;661,5;666,8
28/4/2022;663,06;668,87
29/4/2022;661,53;669,34
30/4/2022;663,08;670,36
1/5/2022;663,08;670,36
2/5/2022;663,08;670,36
3/5/2022;662,86;670,1
4/5/2022;662,46;669,52
5/5/2022;662,74;669,02
6/5/2022;664,43;670,91
7/5/2022;665,11;672,12
8/5/2022;665,11;672,12
9/5/2022;665,11;672,12
10/5/2022;665,55;672,53
11/5/2022;664,44;673,58
12/5/2022;669,41;675,05
13/5/2022;669,51;677,29
14/5/2022;667,59;675,28
15/5/2022;667,59;675,28
16/5/2022;667,59;675,28
17/5/2022;667,18;674,15
18/5/2022;669,05;674,88
19/5/2022;670,23;675,98
20/5/2022;672,8;677,39
21/5/2022;672,96;679,41
22/5/2022;672,96;679,41
23/5/2022;672,96;679,41
24/5/2022;672,11;680,57
25/5/2022;674,87;681,74
26/5/2022;676,06;681,81
27/5/2022;676,88;682,74
28/5/2022;675,89;685,03
29/5/2022;675,89;685,03
30/5/2022;675,89;685,03
31/5/2022;681,62;689,74
1/6/2022;684,9;692,9
2/6/2022;684,42;693,76
3/6/2022;689,61;694,99
4/6/2022;683,54;690,89
5/6/2022;683,54;690,89
6/6/2022;683,54;690,89
7/6/2022;683,01;688,09
8/6/2022;682,07;688,18
9/6/2022;682,45;690,36
10/6/2022;685,29;691,19
11/6/2022;682,2;689,76
12/6/2022;682,2;689,76
13/6/2022;682,2;689,76
14/6/2022;681,08;688,13
15/6/2022;681,1;688,6
16/6/2022;681,88;689,41
17/6/2022;684,21;692,62
18/6/2022;686,78;694,45
19/6/2022;686,78;694,45
20/6/2022;686,78;694,45
21/6/2022;687,98;696,55
22/6/2022;688,13;697,64
23/6/2022;691,2;698,44
24/6/2022;691,76;697,32
25/6/2022;689,88;695,55
26/6/2022;689,88;695,55
27/6/2022;689,88;695,55
28/6/2022;685,75;693,59
29/6/2022;686,23;692,96
30/6/2022;684,76;692,25
1/7/2022;685,26;693,69
2/7/2022;686,24;693,95
3/7/2022;686,24;693,95
4/7/2022;686,24;693,95
